time,subject,fuzzer,run,cov_type,cov
1761458510,lightftp,aflnet,3,b_abs,226
1761458535,lightftp,aflnet,3,l_per,45.7
1761458535,lightftp,aflnet,3,l_abs,516
1761458535,lightftp,aflnet,3,b_per,28.9
1761458535,lightftp,aflnet,3,b_abs,226
1761458564,lightftp,aflnet,3,l_per,45.7
1761458564,lightftp,aflnet,3,l_abs,516
1761458564,lightftp,aflnet,3,b_per,28.9
1761458564,lightftp,aflnet,3,b_abs,226
1761458644,lightftp,aflnet,3,l_per,46.0
1761458644,lightftp,aflnet,3,l_abs,519
1761458644,lightftp,aflnet,3,b_per,29.3
1761458644,lightftp,aflnet,3,b_abs,229
1761458664,lightftp,aflnet,3,l_per,49.8
1761458664,lightftp,aflnet,3,l_abs,562
1761458664,lightftp,aflnet,3,b_per,31.7
1761458664,lightftp,aflnet,3,b_abs,248
1761458677,lightftp,aflnet,3,l_per,49.8
1761458677,lightftp,aflnet,3,l_abs,562
1761458677,lightftp,aflnet,3,b_per,31.7
1761458677,lightftp,aflnet,3,b_abs,248
1761458704,lightftp,aflnet,3,l_per,52.5
1761458704,lightftp,aflnet,3,l_abs,592
1761458704,lightftp,aflnet,3,b_per,33.1
1761458704,lightftp,aflnet,3,b_abs,259
1761458732,lightftp,aflnet,3,l_per,52.8
1761458732,lightftp,aflnet,3,l_abs,596
1761458732,lightftp,aflnet,3,b_per,33.6
1761458732,lightftp,aflnet,3,b_abs,263
1761458755,lightftp,aflnet,3,l_per,53.0
1761458755,lightftp,aflnet,3,l_abs,598
1761458755,lightftp,aflnet,3,b_per,33.9
1761458755,lightftp,aflnet,3,b_abs,265
1761458796,lightftp,aflnet,3,l_per,53.4
1761458796,lightftp,aflnet,3,l_abs,602
1761458796,lightftp,aflnet,3,b_per,34.0
1761458796,lightftp,aflnet,3,b_abs,266
1761458818,lightftp,aflnet,3,l_per,54.6
1761458818,lightftp,aflnet,3,l_abs,616
1761458818,lightftp,aflnet,3,b_per,35.9
1761458818,lightftp,aflnet,3,b_abs,281
1761458860,lightftp,aflnet,3,l_per,55.1
1761458860,lightftp,aflnet,3,l_abs,621
1761458860,lightftp,aflnet,3,b_per,36.3
1761458860,lightftp,aflnet,3,b_abs,284
1761458900,lightftp,aflnet,3,l_per,56.2
1761458900,lightftp,aflnet,3,l_abs,634
1761458900,lightftp,aflnet,3,b_per,37.1
1761458900,lightftp,aflnet,3,b_abs,290
1761458937,lightftp,aflnet,3,l_per,56.5
1761458937,lightftp,aflnet,3,l_abs,637
1761458937,lightftp,aflnet,3,b_per,37.5
1761458937,lightftp,aflnet,3,b_abs,293
1761458991,lightftp,aflnet,3,l_per,57.0
1761458991,lightftp,aflnet,3,l_abs,643
1761458991,lightftp,aflnet,3,b_per,38.0
1761458991,lightftp,aflnet,3,b_abs,297
1761459097,lightftp,aflnet,3,l_per,57.3
